title,description
Mad Max: Fury Road,"In a post-apocalyptic wasteland, Max teams up with a mysterious woman to escape a warlord and his army. Their journey leads them on a high-speed pursuit across dangerous desert terrain."
Die Hard,"NYPD officer John McClane is caught in a Los Angeles skyscraper during a terrorist takeover. As the building is held hostage, McClane battles to save the lives of the hostages and stop the criminals."
The Dark Knight,"Batman faces off against the Joker, a criminal mastermind who seeks to create chaos in Gotham City. Batman must decide how far he is willing to go to stop the Joker's reign of terror."
John Wick,"A retired hitman seeks vengeance against those who killed his beloved dog, a final gift from his late wife. He re-enters the criminal underworld, igniting a relentless pursuit of revenge."
The Avengers,"Earth’s mightiest heroes assemble to stop Loki, the brother of Thor, who is plotting to invade Earth. With the fate of the world at stake, the Avengers must put aside their differences and unite."
Gladiator,"Maximus, a betrayed Roman general, is sold into slavery and becomes a gladiator. He seeks vengeance against Commodus, the corrupt emperor who murdered his family and ruined his life."
Terminator 2: Judgment Day,"A cyborg sent from the future to protect a young boy teams up with his older self’s protector, another cyborg, to prevent the apocalypse, fighting off a relentless, shape-shifting terminator."
Speed,"A cop must prevent a bomb from exploding on a city bus. The bomb is rigged to explode if the bus goes below 50 mph, and the cop must find a way to outsmart the bomber while saving the passengers."
Iron Man,"Tony Stark, a genius billionaire, is captured by terrorists and forced to build a weapon of mass destruction. Instead, he constructs a suit of armor to escape and uses it to protect the world as Iron Man."
The Bourne Identity,"A man with amnesia is found by a fisherman and discovers that he is being pursued by the CIA. With limited memory, he seeks to uncover his past while evading deadly assassins."
Mission: Impossible – Fallout,"Ethan Hunt must work with his team and a CIA agent to recover stolen plutonium, but things go wrong, and Hunt finds himself on the run, facing consequences from past decisions."
Casino Royale,James Bond embarks on his first mission as a 00 agent to stop a terrorist financier named Le Chiffre. Bond must play poker against him to stop a disastrous financial deal.
The Matrix,A hacker named Neo learns the truth about his reality: it is a simulated world controlled by machines. He joins a group of rebels to fight against the system that controls humanity.
The Expendables,"A group of elite mercenaries, led by Barney Ross, is hired to overthrow a dictator in a fictional South American country. As the mission escalates, they face a deadly confrontation with the dictator’s forces."
The Incredibles,"A family of superheroes must come out of retirement to face a new villain who threatens the world. Together, they use their powers to save the day while dealing with the struggles of family life."
300,"King Leonidas of Sparta leads his army of 300 warriors against the Persian Empire, fighting to the death to protect their freedom and defend their homeland from the overwhelming Persian forces."
Black Panther,"T’Challa returns home to the African nation of Wakanda after the death of his father, the king, to take his rightful place as the Black Panther. He faces challenges from a villain with ties to his family’s past."
Lethal Weapon,"A pair of mismatched detectives, one suicidal and the other a family man, must work together to solve the case of a murdered young woman. They build an unlikely friendship as they take on dangerous criminals."
Rambo: First Blood,"John Rambo, a former Green Beret, is wrongly accused of being a drifter causing trouble in a small town. As he fights to survive against local law enforcement, Rambo’s military training comes to the forefront."
The Equalizer,"Robert McCall, a former black-ops operative, seeks to live a quiet life but is forced back into action when he sees a young woman being exploited by a violent Russian gang. McCall seeks justice in his own way."
Se7en (1995),Two detectives hunt a serial killer who uses the seven deadly sins as his modus operandi.
Gone Girl (2014),"A man becomes the prime suspect in the disappearance of his wife, leading to a media frenzy and shocking twists."
The Silence of the Lambs (1991),A young FBI agent seeks the help of a cannibalistic serial killer to catch another killer on the loose.
Shutter Island (2010),A U.S. Marshal investigates the disappearance of a patient from a mental institution located on an isolated island.
Prisoners (2013),"When two children go missing, a father takes matters into his own hands while the police follow a set of clues."
Zodiac (2007),"A political cartoonist, a reporter, and a pair of detectives investigate the infamous Zodiac killer in San Francisco."
The Sixth Sense (1999),A young boy who can see and communicate with the dead is helped by a child psychologist.
Fight Club (1999),An insomniac office worker forms an underground fight club with a soap salesman that soon grows into a dangerous cult.
Memento (2000),A man suffering from short-term memory loss attempts to solve the mystery of his wife’s murder while using notes and tattoos to track his progress.
The Girl with the Dragon Tattoo (2011),A journalist and a hacker team up to uncover the truth behind a long-unsolved disappearance within a powerful family.
The Prestige (2006),Two magicians engage in a bitter rivalry that leads them to use increasingly dangerous tricks and deceptions.
The Others (2001),"A woman lives in an isolated mansion with her two children, who are sensitive to light, but strange events start occurring."
No Country for Old Men (2007),"A hunter stumbles upon a drug deal gone wrong and takes a briefcase filled with money, putting his life in danger as a ruthless hitman pursues him."
The Bone Collector (1999),A quadriplegic detective and a rookie cop team up to track down a serial killer who leaves disturbing clues at crime scenes.
Tinker Tailor Soldier Spy (2011),A retired British secret service agent is brought back to find a Soviet spy within MI6 during the Cold War.
Under the Skin (2013),"An alien in human form roams Scotland, seducing men and taking them to an unknown fate."
The Town (2010),A professional thief in Boston plans a heist while trying to evade capture from both law enforcement and the woman he’s falling for.
Cape Fear (1991),"A convicted rapist, who has been released from prison, seeks revenge on the lawyer who originally put him behind bars."
The Machinist (2004),"An insomniac factory worker begins to doubt his own sanity when strange events occur, leading him to investigate a deep conspiracy."
Collateral (2004),A taxi driver finds himself caught in a hitman's mission as he is forced to drive the killer around Los Angeles for a night of murders.
Superbad (2007),"Two socially awkward high school friends plan one last night of fun before heading off to college, leading to hilarious and chaotic misadventures."
The Hangover (2009),"After a wild night in Las Vegas, a group of friends wake up with no memory of the previous night and must retrace their steps to find their missing friend before his wedding."
Dumb and Dumber (1994),"Two well-meaning but incredibly stupid friends embark on a cross-country road trip to return a briefcase to its owner, leading to absurd and comedic situations."
Step Brothers (2008),"Two lazy middle-aged men, forced to live together as stepbrothers when their parents marry, engage in childish rivalry that turns into an unexpected friendship."
Anchorman: The Legend of Ron Burgundy (2004),"A self-absorbed TV news anchor struggles with competition when a talented female journalist joins his newsroom, leading to hilarious workplace chaos."
21 Jump Street (2012),"Two underachieving police officers go undercover at a high school to bust a drug ring, but they struggle to fit in with modern teenage culture."
Tropic Thunder (2008),"A group of self-absorbed actors shooting a war movie in the jungle accidentally stumble into a real-life conflict, mistaking it for part of the film."
Zoolander (2001),A clueless but famous male model is brainwashed by a fashion mogul to assassinate the Prime Minister of Malaysia in this over-the-top comedy.
Bridesmaids (2011),A competition between the maid of honor and a bridesmaid over who is the bride’s best friend spirals into an escalating series of comedic disasters.
The Grand Budapest Hotel (2014),A quirky and visually stunning comedy about the adventures of a legendary hotel concierge and his protégé as they get caught up in a theft and murder mystery.
Napoleon Dynamite (2004),A socially awkward teenager navigates high school life with his eccentric family and helps his best friend run for class president.
Groundhog Day (1993),"A cynical TV weatherman finds himself reliving the same day over and over again, leading to comedic self-discovery and personal growth."
Shaun of the Dead (2004),"A slacker must step up to protect his friends and family when a zombie apocalypse breaks out in his town, blending comedy with horror elements."
Ferris Bueller's Day Off (1986),"A charismatic high school student skips school for an elaborate day of fun in Chicago, outwitting his principal in the process."
The Big Lebowski (1998),"An easygoing slacker, known as ""The Dude,"" gets mistaken for a millionaire and dragged into a bizarre kidnapping scheme."
Hot Fuzz (2007),"A top London cop is transferred to a sleepy village, only to uncover a bizarre conspiracy behind the town’s seemingly perfect crime rate."
Ghostbusters (1984),"A team of eccentric scientists start a ghost-catching business in New York City, leading to hilarious supernatural encounters."
Monty Python and the Holy Grail (1975),"A surreal and absurd retelling of King Arthur's quest for the Holy Grail, packed with legendary comedic moments and satire."
Meet the Parents (2000),"A man desperately tries to impress his girlfriend’s strict and overprotective father, leading to a series of awkward and hilarious encounters."
Deadpool (2016),"A wisecracking, foul-mouthed anti-hero with regenerative powers seeks revenge while breaking the fourth wall with sarcastic humor and pop culture references."
The Conjuring (2013),Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
Hereditary (2018),A grieving family is haunted by tragic and disturbing occurrences after the death of their secretive grandmother.
It (2017),A group of bullied kids band together to fight an evil entity that takes the form of a terrifying clown named Pennywise.
The Exorcist (1973),"A mother seeks the help of two priests to save her daughter, who is possessed by a demonic entity."
A Nightmare on Elm Street (1984),A group of teenagers are stalked and killed in their dreams by the terrifying Freddy Krueger.
Halloween (1978),"Fifteen years after murdering his sister, Michael Myers escapes from a mental institution and returns to his hometown to kill again."
The Texas Chainsaw Massacre (1974),A group of friends falls victim to a family of cannibals while visiting an old homestead in Texas.
The Ring (2002),A journalist investigates a mysterious videotape that causes the viewer to die seven days after watching it.
Paranormal Activity (2007),"A young couple sets up cameras in their home to capture strange supernatural occurrences, only to experience a growing terror."
Insidious (2010),A family discovers that their comatose son has become a vessel for spirits from another dimension.
The Babadook (2014),A mother and son are tormented by a sinister presence that emerges from a mysterious children’s book.
Sinister (2012),"A true-crime writer moves into a house where a family was murdered, only to uncover terrifying footage linked to supernatural forces."
The Shining (1980),"A family moves into a secluded hotel for the winter, where an evil presence pushes the father toward madness."
Annabelle (2014),A possessed doll terrorizes a young couple after they bring it into their home.
Evil Dead (2013),A group of friends staying in a remote cabin unknowingly unleash a demonic force that possesses them one by one.
The Mist (2007),"A mysterious mist engulfs a town, trapping residents in a supermarket while monstrous creatures lurk outside."
Host (2020),"A group of friends conducts a virtual séance during the COVID-19 lockdown, only to invite an evil spirit into their homes."
Midsommar (2019),"A grieving woman joins her boyfriend and his friends on a trip to a Swedish festival, only to become entangled in a pagan cult’s horrifying rituals."
The Autopsy of Jane Doe (2016),"A father and son coroner team examines the body of an unidentified woman, only to uncover eerie and deadly secrets."
Smile (2022),"After witnessing a traumatic event, a therapist starts experiencing terrifying supernatural visions and a mysterious smiling entity."
The Notebook (2004),"A poor yet passionate young man falls in love with a wealthy young woman, giving her a sense of freedom, but they are soon separated due to their social differences."
Pride and Prejudice (2005),Sparks fly when the spirited Elizabeth Bennet meets the wealthy and reserved Mr. Darcy in this adaptation of Jane Austen's classic novel.
Titanic (1997),"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
La La Land (2016),A jazz musician and an aspiring actress fall in love while struggling to achieve their dreams in Los Angeles.
A Walk to Remember (2002),"Two North Carolina teens, Landon and Jamie, are thrown together after Landon gets into trouble and is forced to do community service."
Me Before You (2016),"A young woman forms an unlikely bond with a paralyzed man she is taking care of, changing both of their lives forever."
The Fault in Our Stars (2014),"Two teenage cancer patients begin a life-changing journey together, experiencing love and loss in ways they never expected."
To All the Boys I’ve Loved Before (2018),"A teenage girl's secret love letters are exposed, leading to unexpected relationships and self-discovery."
"Love, Rosie (2014)","Best friends Rosie and Alex have always had feelings for each other, but life takes them in different directions before they realize where they truly belong."
About Time (2013),A young man discovers he can travel through time and uses his ability to win the heart of the woman he loves.
Crazy Rich Asians (2018),"A woman discovers that her boyfriend is one of the wealthiest men in Singapore, leading to challenges with his traditional family."
